months:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
2014-03-06,0.419445008,0.42003085,0.421116229,0.422654854,0.424934307,0.428299499,0.433056087,0.43944405,0.44759423,0.457525815,0.469205318,0.482583145,0.497621002,0.514272355,0.532466002,0.552112115,0.573107719,0.595340346,0.618690774,0.643037966,0.668263205,0.694249973,0.720883473,0.748050271,0.775638546,0.803544524,0.831678486,0.859963047,0.888331032,0.916723774,0.94508974,0.97338342,1.001564411,1.029596666,1.057447874,1.085088941,1.112493625,1.139639018,1.166506016,1.193078927,1.219345058,1.245294358,1.270919107,1.296213657,1.321174195,1.34579855,1.370086015,1.394037194,1.417653852,1.440938588,1.463894528,1.486525257,1.508834775,1.530827453,1.552508008,1.573881463,1.59495313,1.615728575,1.636213603,1.656414239
2014-03-07,0.419902604,0.419828636,0.420191297,0.421378006,0.423644939,0.427137988,0.431999784,0.438420164,0.446579895,0.45659029,0.468504057,0.482322506,0.498000194,0.515457849,0.534595597,0.555299664,0.577446464,0.600905326,0.625540624,0.651216208,0.677798925,0.705158273,0.733165826,0.761694801,0.790620438,0.819827865,0.8492188,0.878709418,0.908227852,0.937712204,0.967108935,0.996371562,1.025459584,1.054337607,1.08297461,1.111343344,1.139419877,1.167183898,1.194619024,1.221712377,1.248454167,1.274837315,1.300857142,1.326511098,1.35179852,1.376720433,1.401279365,1.425479197,1.449324983,1.472822447,1.495977503,1.518796192,1.541284674,1.563449214,1.585296176,1.606832011,1.62806325,1.6489965,1.669638432,1.68999578
2014-03-10,0.4201927,0.420920464,0.421780313,0.423145752,0.425494724,0.429193958,0.434507183,0.441606175,0.450588848,0.461494291,0.474313039,0.489002806,0.505491236,0.523683175,0.543469076,0.564729597,0.587338488,0.611164504,0.636073058,0.661931097,0.688611033,0.715989921,0.743948458,0.772370219,0.801141683,0.830158671,0.859331848,0.888584775,0.917851682,0.947075691,0.976207382,1.005203626,1.034026636,1.062643175,1.091023913,1.119142878,1.146977072,1.174506858,1.201716337,1.228592964,1.25512714,1.281311859,1.307142405,1.332616095,1.357732053,1.382491012,1.406895142,1.430947904,1.45465389,1.478018394,1.501046943,1.523745233,1.546119111,1.568174561,1.589917692,1.611354726,1.632491989,1.653335903,1.673892976,1.694169794
2014-03-11,0.418708943,0.419020456,0.4198514,0.421230532,0.423410971,0.426720046,0.431479816,0.437949521,0.446281895,0.456528317,0.468662715,0.482623417,0.49833181,0.515693019,0.534601398,0.554943971,0.576602587,0.599455355,0.62337787,0.648246681,0.673942089,0.700347591,0.727349189,0.754834866,0.782694791,0.81082788,0.839147411,0.867579147,0.89605919,0.924532254,0.952950278,0.981271297,1.009458516,1.037479552,1.065305805,1.092911929,1.120275437,1.147376946,1.174200522,1.200733343,1.226965315,1.252888749,1.278498081,1.303789631,1.328761391,1.353412848,1.377744822,1.401759326,1.425459426,1.44884883,1.471931499,1.494711575,1.517193371,1.539381355,1.561280132,1.582894434,1.604229111,1.625289115,1.646079499,1.666605403
2014-03-12,0.419189899,0.41937591,0.419632322,0.42022088,0.421410278,0.423662053,0.427442062,0.43308193,0.440743926,0.450462194,0.462189131,0.475838222,0.491290842,0.508410476,0.527064389,0.547123936,0.568463354,0.590958968,0.614488775,0.638934079,0.66418122,0.69012073,0.716646418,0.743654694,0.77104442,0.798721808,0.826605468,0.854624938,0.882718796,0.910833157,0.938920457,0.966938465,0.994849471,1.02261963,1.0502184,1.077618091,1.10479354,1.131722647,1.158386954,1.184771288,1.210863368,1.236653457,1.262134064,1.287299694,1.312146621,1.336672701,1.360877198,1.384760642,1.408324676,1.431571713,1.454504603,1.477126572,1.499441185,1.521452312,1.543164106,1.564580972,1.585707548,1.606548684,1.627109424,1.647394991
2014-03-13,0.417798717,0.418272463,0.418778208,0.419633094,0.421157947,0.423644577,0.4273392,0.432463778,0.43919713,0.44766605,0.45795372,0.470095389,0.484057888,0.499740221,0.517023719,0.535780473,0.555876055,0.577171326,0.599524225,0.622797817,0.646867416,0.671618711,0.696945514,0.722748066,0.748932055,0.775411472,0.802111412,0.828966547,0.855919481,0.882919422,0.90992112,0.936884,0.963771453,0.990550255,1.017190082,1.043663106,1.069943741,1.096009296,1.121840596,1.147421643,1.172739227,1.197782592,1.222543153,1.24701425,1.271190933,1.295069773,1.318648708,1.341926891,1.364904561,1.387582783,1.409963206,1.432047995,1.453839781,1.475341621,1.496556952,1.517489564,1.538143567,1.558523363,1.578633618,1.598479248
2014-03-14,0.418209496,0.418224168,0.418617533,0.419503993,0.42122307,0.424110084,0.428426336,0.434350366,0.441969153,0.451296171,0.462308988,0.474960009,0.489185472,0.504911972,0.522055277,0.540523177,0.560217835,0.581037347,0.602876917,0.625630852,0.649194115,0.673462314,0.698331562,0.723698369,0.749460142,0.775521748,0.80180109,0.828227458,0.854739561,0.881283959,0.907813796,0.934287773,0.960669301,0.986925816,1.013028199,1.038950296,1.064668585,1.090162569,1.11541516,1.140412336,1.165142759,1.189597462,1.21376957,1.237654061,1.261247565,1.28454818,1.307555317,1.330269564,1.352692545,1.374826585,1.396674394,1.418239007,1.439523753,1.460532225,1.481268262,1.501735922,1.521939464,1.541883332,1.561572138,1.581010649
2014-03-17,0.417663317,0.417821541,0.418319687,0.419301876,0.421091754,0.423966946,0.428137659,0.43374721,0.440872847,0.449548596,0.459806561,0.471693132,0.485241818,0.500446099,0.517255691,0.535588891,0.555341818,0.576394573,0.598615915,0.621871676,0.64603137,0.670967948,0.696557051,0.722676451,0.7492063,0.776036579,0.80307345,0.830237156,0.857459593,0.88468237,0.911855238,0.938934821,0.965883575,0.992668928,1.019262571,1.045639866,1.071779391,1.097662983,1.12327582,1.148606044,1.173644405,1.198383946,1.222819742,1.246948663,1.270769178,1.294281182,1.317485842,1.340385464,1.362983362,1.385283462,1.407289902,1.429006961,1.450439056,1.47159072,1.492466597,1.51307143,1.533410053,1.553487383,1.573308412,1.592878204
2014-03-18,0.416640426,0.417316067,0.418259458,0.419299281,0.420694213,0.422877915,0.426263097,0.431165001,0.437800117,0.446302149,0.456724987,0.469069256,0.483295285,0.49932452,0.517052426,0.536356739,0.557102682,0.579146437,0.602338063,0.626529467,0.651580799,0.677359263,0.703737582,0.730592851,0.757806285,0.785269734,0.812891272,0.840593021,0.868308737,0.895981865,0.923563979,0.951013513,0.978294718,1.005376809,1.032233257,1.058841195,1.08518095,1.111236003,1.136993039,1.162441602,1.187573744,1.21238373,1.236867777,1.261023834,1.284851388,1.308351301,1.331525658,1.354377644,1.376911406,1.399131661,1.421043298,1.442651328,1.463960871,1.484977144,1.505705459,1.526151205,1.546319849,1.566216926,1.585848034,1.605218827
2014-03-19,0.41891669,0.418343557,0.418300249,0.418799987,0.42021803,0.422879373,0.427004611,0.432741625,0.440166048,0.449313365,0.460218518,0.472928034,0.487452658,0.503744564,0.521717499,0.541259205,0.562239064,0.584513203,0.607928543,0.632333495,0.657587866,0.683561507,0.710132126,0.737183655,0.764605372,0.792296156,0.820169017,0.8481493,0.87617256,0.904182862,0.932131406,0.959975413,0.987677212,1.015203491,1.042524672,1.069614394,1.096449131,1.123008528,1.149275791,1.175237326,1.200882349,1.226202554,1.25119182,1.275845968,1.300162539,1.324140614,1.347780646,1.371084316,1.394054393,1.416694398,1.439008292,1.461000412,1.482675436,1.504038353,1.525094428,1.545849187,1.566308386,1.586477995,1.60636418,1.625973284
